ID,Sample,SampleGroup,RunType,Sequence,IS_Heptanoic acid,C4:0,C6:0,C8:0,C10:0,C12:0,C14:0,C14:1,C15:0,C16:0,C16:1,C17:0,C18:0,C18:1 cis9,C18:2,C22:0,C24:0
S1,1.1,Cow,Sample,1,100499084.6,18257567.18,27840359.93,20037625.95,12015976.58,27397203.75,48168692.25,2332563,3261119.7,143275420.4,2502948.675,1171524,37200876.23,22561863,2935759.5,377208.15,
S1,1.2,Cow,Sample,3,70768806,11802998.85,13854080.18,9892142.1,5705178.975,14060624.4,23911607.1,1149633.45,1605740.775,79722340.95,1258702.95,633312.3,24850463.1,11611735.28,1840384.35,264932.85,201648.45
S1,1.3,Cow,Sample,4,69696700.95,13099278.98,15144238.73,10366430.63,5785260.75,14213928.08,24714822.75,1187505.375,1680516.3,79191776.1,1298748.15,641659.35,23794996.58,11923086.68,1785348.975,269985.375,
S2,2.1,Cow,Sample,7,70326566.33,15051505.65,19315641.23,13631974.58,7769314.95,15953764.65,29502275.55,1329541.5,2313513.45,58823365.28,1456803.9,738292.125,10502030.85,14095074.15,2278579.2,221268.375,198932.175
S2,2.2,Cow,Sample,98,49819937.7,14778738.53,16136555.63,10792626.98,6515334,13671089.03,26849391.75,1146243.375,2157716.7,54667418.03,1301901.825,702754.425,10475035.58,12899831.1,2145309,354340.5,265737.525
S2,2.3,Cow,Sample,8,72881689.28,24235824.98,33776573.63,20953878.38,12143951.55,24855550.88,46923096.68,2142466.5,3586508.625,94082192.85,2271734.4,1123208.025,15841148.4,22030236.75,2756751.15,232051.425,198022.275
S3,3.1,Cow,Sample,110,49920695.85,12914424.9,12307523.93,7629373.725,4399243.575,15467503.2,24094764.53,1093371.45,2005053.15,57098289.38,1456686,734650.425,10327418.25,13437395.03,2010712.2,302614.425,251646.45
S3,3.2,Cow,Sample,25,58922572.43,12990744.9,13249604.4,8821504.65,5079585.6,16785198.15,23128326.75,1159052.175,1772355.075,50013790.43,1498150.575,,8325988.95,13004651.55,1918955.175,233246.775,182097.375
S3,3.3,Cow,Sample,19,57531045.3,16069079.25,15821655.53,10254300.45,6082751.625,20317651.65,28358986.35,1426951.05,2164419.975,61139043,1824422.4,763569.3,9710352.3,15543537.68,2053230.975,245647.05,218088.825
S4,4.1,Cow,Sample,23,58445867.33,21765176.33,23735029.5,15437534.18,9323530.725,30599164.88,42833842.13,2158526.4,2963731.65,76410003.9,2218397.85,,12504427.58,19551956.7,2419267.425,253247.55,152333.25
S4,4.2,Cow,Sample,111,51985763.33,14983620,15241386.6,9627177.675,5657663.325,19494516,29733653.48,1299228.825,2206076.475,57869027.7,1404258.9,748524.375,10444804.35,12812851.73,1844257.95,328086.075,203567.625
S4,4.3,Cow,Sample,22,57929012.93,17159313.3,18284444.7,12034245.98,7196570.475,23686331.4,32869170.45,1628612.4,2310969.75,59337465.38,1650420.9,759949.725,9976770.6,14365979.93,1925266.5,237977.55,159801.375
S6,6.1,Cow,Sample,26,56681748.15,22357990.65,23913552.68,15444952.58,9059542.425,24348189.45,42854565.15,2174730.975,3480412.275,91896900.45,2692965,1243913.925,14862882.98,23855511,2709138.45,297749.55,238777.425
S6,6.2,Cow,Sample,99,50611473.98,15120261.38,14425987.58,9067826.475,5229639.075,14512182.6,27267544.58,1233576.75,2359206.825,62376745.95,1600263.75,878180.325,11507630.03,14653735.2,2007944.175,376509.225,271266.75
S6,6.3,Cow,Sample,100,51552200.1,14849340.75,14053044.38,8944480.425,5138164.95,14316390.53,26823012,1251042.75,2315569.05,61294618.13,1617288.75,899205.15,11478740.7,14719869.83,2114619.075,337565.325,278770.95
S8,8.1,Cow,Sample,15,54558996.9,13362743.1,13895597.48,9157761.9,5578617.75,15060208.73,26626725,1103801.1,2116991.625,57657214.43,1318494.225,742865.85,11477871.9,13033110,3480259.2,370454.775,289550.775
S8,8.2,Cow,Sample,30,54019144.65,14003993.18,14235194.55,9170016.3,5447155.65,14792297.78,26275249.35,1127146.125,2094860.7,56681205.3,1289221.125,755799.225,11224801.88,12924382.05,3382762.575,398168.325,287254.2
S8,8.3,Cow,Sample,28,54829993.05,14611941.38,15190646.4,9756771.75,5724843,15492347.55,27749676.45,1179388.2,2210123.925,60427727.85,1407553.875,794829.375,11603485.8,13427147.03,3511544.025,370796.1,286017.675
S9,9.1,Cow,Sample,36,58550989.73,18394530.45,18089307.9,10727414.03,6136401.075,17011228.43,33440868.75,1564967.325,2906339.1,75738881.93,2025721.05,1014869.175,12743957.48,17513764.65,2193068.85,329294.325,
S9,9.2,Cow,Sample,37,54027297,16122742.5,15178117.5,8860677.45,5031796.725,14000418.98,27363285.83,1267100.025,2411886.075,62462745.6,1626589.05,873095.25,11012595.38,14340206.03,1938349.725,350947.95,
S9,9.3,Cow,Sample,38,54305336.18,17618517.98,17161413.6,10059206.03,5726040.75,15815978.1,31064066.63,1454320.575,2724089.85,71584659.23,1816143.375,966820.425,12415383.83,15795951.68,2081058.6,330684.525,
S12,12.1,Cow,Sample,61,57436606.88,18480728.18,19279355.4,12131076.23,7149599.325,22981331.55,36849558.68,1689946.575,2761665.6,74648095.5,1910748.3,929444.025,12217591.95,16634270.93,2255032.8,381043.425,300548.25
S12,12.2,Cow,Sample,62,65431692.75,29487197.55,32437816.2,20704656.6,12559876.2,39894458.93,64119234.9,2927680.425,4565912.925,128585961.6,3261665.55,1497418.8,19031182.58,27335436.45,3197778.825,397274.925,356844
S12,12.3,Cow,Sample,63,54641046.6,16104991.5,16362830.93,10855578.98,6467086.2,21017103.53,33123205.35,1532430.225,2514817.05,65768040.45,1758929.475,827705.175,10864097.25,14839333.73,2186339.85,316098.825,294328.95
S13,13.1,Cow,Sample,69,63652615.5,24922923.3,28038836.1,18233198.1,11944781.7,36693677.78,61285832.1,2347047.525,4475751.075,130086995.3,2570711.4,1543044.75,18579064.2,21537246.15,2884321.725,507626.85,412328.475
S13,13.2,Cow,Sample,70,57755808.23,25270142.4,26706960.08,15913753.13,9192169.2,28868134.58,51522525.3,2052668.625,3919753.8,115225648.9,2343252.6,1428191.775,17202262.2,20278213.88,2617754.25,506685.525,414330.6
S13,13.3,Cow,Sample,71,55273535.4,15658018.35,15193877.1,9248757.225,5308689.675,16587085.43,28283141.33,1132129.725,2218747.2,62772617.55,1355393.925,,10829716.05,11988532.58,2024710.275,455429.925,405303.375
S14,14.1,Cow,Sample,88,54599159.78,21647992.2,21995792.1,13777472.4,7927306.65,25309868.1,41189023.65,1726109.625,3113483.325,83906603.78,1871347.425,1119521.025,17202032.1,21966362.18,2990224.8,342906.375,265976.925
S14,14.2,Cow,Sample,89,51928739.48,15797278.13,15679374.08,10235186.1,5794059.825,18347313,29555471.25,1253327.25,2322539.85,60834274.28,1351538.175,874508.55,13340322.23,15835840.8,2523320.475,377322.525,279239.1
S14,14.3,Cow,Sample,90,54279680.78,16645616.33,16664822.03,10552589.03,5965717.95,18671765.03,30161945.48,1288097.4,2312523.525,62458272.6,1395644.025,873149.85,13827043.95,16864554.38,2708492.55,356293.2,268385.925
S15,15.1,Cow,Sample,79,48702162.38,16526676.53,15454936.28,9235562.625,5156235.525,16734568.95,29736384.6,1188365.475,2396109,64295218.58,1598101.875,876475.65,15796425.53,19775120.85,2262814.275,350984.025,264660.9
S15,15.2,Cow,Sample,80,51257965.43,20937001.58,20697552.3,12309888.15,6965473.65,22466604.75,40499637.98,1630510.2,3230916.75,88703453.55,2186890.05,1171776.15,21571260.53,26865874.8,2874606.675,402920.625,311742.3
S15,15.3,Cow,Sample,81,48531512.63,16041499.13,15310158.83,9524703.3,5413993.05,17539697.33,30804945,1228774.2,2479658.775,64975084.43,1616250.225,860381.1,15433378.13,19473991.2,2347168.35,413854.125,307554.075
S16,16.1,Cow,Sample,101,51367897.95,11666938.43,12000055.2,7013909.85,4139990.4,13934563.2,23752984.73,1133587.2,1825882.95,54227969.18,1267980.825,697182.3,10530816.6,12524835.38,1592758.575,265190.025,238646.625
S16,16.2,Cow,Sample,102,51327462.23,16401523.95,16235368.65,10144488.9,5875186.275,20140046.25,32493167.55,1514369.7,2402032.8,66687128.55,1696271.475,838595.025,11765743.2,15116325.3,1989790.875,365492.325,283777.275
S16,16.3,Cow,Sample,103,52518198.53,14592392.1,14599162.95,9227995.65,5414603.85,18394783.58,29355777.9,1412348.55,2143962.375,59670392.63,1552662.075,725384.4,10742921.85,14101048.73,1792471.05,324193.8,235665.975
S17,17.1,Cow,Sample,72,55187887.88,17320731.3,17315380.95,10702943.55,6202529.25,16657248.3,31029311.25,1227913.8,2729368.95,70436843.85,1460181.675,1019372.925,15101669.48,15637336.5,3380121.75,573952.575,463622.25
S17,17.2,Cow,Sample,73,55236705.23,18057505.88,18208017.6,11049272.18,6151039.275,16719291,31731784.28,1267371.375,2796238.2,72153261.3,1492855.125,1064409.6,15327177.08,15688538.63,3222716.025,594585.675,441059.775
S17,17.3,Cow,Sample,74,54398545.28,19679881.05,20321611.43,12442628.33,7148613,19484467.35,37178890.73,1501087.95,3209172.45,84714229.28,1772356.35,1254997.8,17328013.5,18377848.95,1256097.375,515079.3,441875.025
S18,18.1,Soy,Sample,27,120132571.2,1364645.55,725817,,,383949.15,1833410.1,,,125226880.4,,,48056001.6,31912859.85,116669201.4,1085126.4,469302.9
S18,18.2,Soy,Sample,32,124209243.3,1329459.3,757610.4,,,415746,1812231.9,,,118012684.1,,,46065881.7,29397073.2,109674035.7,1007859.6,399319.2
S18,18.3,Soy,Sample,34,122362077.8,1334916.3,741606.75,,,391551.6,1789901.85,,,117193860.8,,,46217442.6,27980346.3,108063411.6,1001623.05,453575.7
S19,19.1,Soy,Sample,2,194151909.5,1482581.85,1500719.7,603955.35,,,1820684.55,,669306.3,182592935.6,,1550349.9,40261671.45,45728716.2,234604273.7,3352450.65,758992.5
S19,19.2,Soy,Sample,5,161622933.3,1521351.6,1339265.4,,,,1859736.9,,745489.05,170847524.6,,1429654.2,35841981.6,41591255.85,219084359.6,2967749.25,732065.4
S19,19.3,Soy,Sample,6,170467368.2,1416075.9,1367122.95,,,,1838230.05,,718275.9,177659410.5,,1509485.85,38593569.75,45216561.9,227814330.9,3176180.25,757774.65
S22,22.1,Soy,Sample,64,150165363.8,,1456277.85,667216.5,,,1292604,,,102218183,,,19853945.4,32554797.15,114837018.3,1181762.1,440520.45
S22,22.2,Soy,Sample,65,133084776.8,,1853785.65,603713.85,,,985483.5,,,85916414.7,,,16719432,26955732.9,94623876.6,989631,400693.35
S22,22.3,Soy,Sample,66,129656464.5,,1671595.5,567587.4,,,1056523.95,,,78165317.25,,,15133187.1,23991874.8,84923565.9,842113.5,351742.65
S23,23.1,Soy,Sample,29,125307486.5,,771340.95,369592.05,,1483328.7,5325972,,,244391151.6,,1116447.75,106596672.9,34294100.25,118350672.8,1415007.3,619659.6
S23,23.2,Soy,Sample,31,124368187.7,,746104.05,357378.75,,1496868,5495608.65,,,250095146.9,,,109063124.3,36403386.15,124685602.1,1553467.2,627694.5
S23,23.3,Soy,Sample,35,122844725.6,,758687.85,357378.75,,1430884.35,5319460.5,,551962.2,246411352.1,,1158069.9,106417132.4,40006214.7,132825226.8,1665422.25,687135.9
S24,24.1,Soy,Sample,39,122275012.1,,2963006.85,684790.65,,,1218361.65,,,85444084.95,,,24813687.3,28447028.25,99279610.05,,
S24,24.2,Soy,Sample,40,126347401.5,,3185506.65,718377.75,,,1161190.5,,,89737888.95,,,26635044,31105822.35,105635105,,
S24,24.3,Soy,Sample,41,119309792.9,,2984938.65,,,,1106141.85,,398006.7,86695277.85,,,26033050.2,30109707.15,101669494.5,,
S25,25.1,Soy,Sample,50,135528668.7,1455584.1,1445455.2,976938.9,,979828.8,1904622.9,,,89537702.4,765248.1,,25460295.75,137310192.9,157754139.3,2246080.2,793821.15
S25,25.2,Soy,Sample,51,134331705.8,1450652.7,1438825.8,950751.15,,1009986.9,1867469.55,,,87406381.35,770208.6,,24813259.2,133526340.6,154429082.6,1977342.75,705529.8
S25,25.3,Soy,Sample,52,137229852.2,1464239.85,1444144.65,949952.1,,932350.65,1855816.2,,,87254308.8,755784.3,,25168109.7,134792163,154277435,2259269.55,786519.6
S26,26.1,Soy,Sample,82,119018814.5,1326556.2,1560283.35,,,,856503.15,,,53242546.05,,,11568423.75,16868414.85,57275158.2,621181.8,
S26,26.2,Soy,Sample,83,123194892.6,1344021.45,1252513.35,,,,644816.85,,,50555871.75,,,10808394.6,15343443.9,52148111.4,552388.05,
S26,26.3,Soy,Sample,84,121193934.8,1349002.2,1241391.9,,,,656082.3,,,51310698,,,10990136.25,15656452.8,53841166.8,569055.45,
S27,27.1,Almond,Sample,53,849736806,13278599,,,,,,,,118655404,,,37060849,245255328,91583570,,
S27,27.2,Almond,Sample,54,877056518,13529942,,,,,,,,121495286,,,36963584,253261622,95836511,,
S27,27.3,Almond,Sample,55,885375419,13454565,,,,,,,,86938890,,,29441512,169410430,66374526,,
S29,29.1,Almond,Sample,44,833286555,13110056,,,,,,,,155231047,,,40731913,390343905,181684358,,
S29,29.2,Almond,Sample,45,976248832,14591351,,,,,,,,184449237,,,48628969,485219225,223988511,,
S29,29.3,Almond,Sample,46,867396321,13386782,,,,,,,,158141601,,,40370933,384193610,174498363,,
S30,30.1,Almond,Sample,12,1287893140,,,,,,,,,171445264,,,53100757,394260042,142868496,,
S30,30.2,Almond,Sample,13,1097165925,,,,,,,,,167624975,,,50465237,395433050,143134602,,
S30,30.3,Almond,Sample,14,1149535519,,,,,,,,,156804943,,,48598938,365209622,136410263,,
S31,31.1,LactoseFree,Sample,118,53122269.08,16098854.48,17067625.88,10978916.18,6593724.075,20229298.65,33528722.63,1540724.175,2685223.95,69654669.23,1756548.975,936400.5,11762156.33,15660312,2299789.725,296781.975,220338.675
S31,31.2,LactoseFree,Sample,85,50875939.43,19457364.9,20754887.85,13146006.15,7887018.375,24410201.25,41451339.75,1922908.2,3208203.3,86005387.88,2248784.475,1120478.475,14268780,19465393.58,2733239.775,306747.3,268473.3
S31,31.3,LactoseFree,Sample,86,48999181.5,19558108.28,20934785.33,13487457.53,8099317.275,25461523.88,43373766.68,2006435.55,3376579.5,89955023.25,2347712.7,1168493.925,14752261.05,20138302.88,2721961.65,331858.05,262776
S32,32.1,LactoseFree,Sample,92,51816310.73,17034595.28,17786885.78,11432646.98,6695100.3,20632862.63,33990415.05,1413959.775,2591346.075,69683372.55,1653987.675,975041.7,12849479.55,16043961.75,2385103.05,370107.075,305949
S32,32.2,LactoseFree,Sample,93,50800140.6,15137386.05,15853489.2,10567857.9,6301279.875,18956949.08,30842521.95,1271335.65,2317888.725,62264044.5,1506110.475,856639.05,11709400.73,14412460.28,2334848.025,353790.525,303987.075
S32,32.3,LactoseFree,Sample,94,45282909.3,15047860.2,14558943.3,9486033.975,5582667.525,17115797.55,28115671.43,1116206.625,2133973.5,57220657.43,1351349.25,786393.825,10541691,12998792.33,2102519.175,388338,276812.775
S33,33.1,LactoseFree,Sample,95,45735819.83,11911710.83,12235519.28,8515170.225,5292748.425,13097103.75,22171343.85,986881.275,1697513.775,43942760.03,1164632.55,563269.125,7471149.375,9663207.075,1778402.1,307060.725,201294.825
S33,33.2,LactoseFree,Sample,96,46207351.73,12295019.85,12834792.75,8919991.425,5569196.25,13870443.08,23766697.73,1047926.7,1894161.45,47450876.63,1213891.425,620799.525,8038122.15,10210893.83,1939995.3,276473.85,214967.325
S33,33.3,LactoseFree,Sample,97,43141136.55,10430121.45,10798159.43,7476421.125,4607976.3,11172065.33,19419271.05,837816.9,1613237.1,41337285.23,1061685,554881.5,7366846.8,8738353.275,1657962.45,252339,204762.375
S34,34.1,LactoseFree,Sample,104,50149859.25,17242242.38,20205695.63,13859661.83,9159087.3,19994297.1,39390433.73,1698922.725,4780757.325,89200406.85,2353704,1378089.15,10323462.53,14192960.03,2423802.825,379838.175,269309.025
S34,34.2,LactoseFree,Sample,105,49663221.23,16979937.98,19740668.4,13872113.85,9284857.2,20272051.2,38348537.63,1660662.3,4518545.25,80419311.23,2398156.125,1232416.35,9209677.725,13706282.63,2471655.9,326910.9,259267.5
S34,34.3,LactoseFree,Sample,106,48611502.38,16823992.05,19472598.68,14092254.68,9386470.125,20362642.35,38104396.8,1683255.75,4462699.8,78066903.9,2366416.05,1203628.8,8748659.925,13487095.58,2304583.8,325715.4,
S35,35.1,LactoseFree,Sample,107,50494252.05,18133248.15,19241065.28,12043360.13,7105185.75,19713836.48,37010842.28,1639975.8,2926162.65,78949063.95,1954999.575,1091247.15,14742635.93,19140896.48,2733823.575,365116.125,276632.625
S35,35.2,LactoseFree,Sample,108,51017923.73,13336425.23,13309143.6,8343365.25,4833465.3,13163435.55,24383989.28,1065553.425,2002887.675,53539046.03,1308585.375,737062.2,10938498.98,13165144.58,2138831.7,397338.225,288716.1
S35,35.3,LactoseFree,Sample,109,50510900.25,13641006.45,14043283.58,8571642.525,5060487.3,13814682.68,25412296.88,1143376.275,2080858.875,55116259.05,1406071.575,761667.225,11113023.3,13784210.48,2104523.4,387110.325,276571.05
S36,36.1,LactoseFree,Sample,112,50806276.95,14242551.23,15566829.53,10788937.8,6621594.9,14468417.18,26101166.78,1105704.075,1727098.275,48818502.23,1175213.325,594261.825,9483098.7,11260236.9,1808606.85,292608.075,219624.9
S36,36.2,LactoseFree,Sample,113,51204295.5,13068103.05,14321627.63,10060259.4,6083306.55,13293418.5,24113981.1,978574.2,1590624.6,45925411.28,1112892.6,569536.425,9217775.325,10727152.58,1775596.2,306933.375,213099.975
S36,36.3,LactoseFree,Sample,114,49258278,14522071.2,15613946.93,10960039.88,6806326.35,15152951.4,27441027.6,1109323.575,1804029.525,51237978.53,1238911.95,610092.525,9757845.15,11614799.1,1829596.65,304262.25,207253.575
pool1,pool1,QC,QC,20,57632756.03,11902701.83,13108718.48,9658090.425,5355475.8,17545491.9,22858905,1014706.2,1867610.7,68434888.2,1140724.425,694699.65,16569974.63,13599512.1,11742063.23,252797.7,171877.35
pool10,pool10,QC,QC,91,47425461.3,10939401.53,11469990.3,8382171.075,4844339.625,17107886.78,24855114.98,995885.025,2030279.25,77610876.15,1246703.85,781722.525,19286427.08,15186943.58,12895148.7,330432.3,209433.975
pool2,pool2,QC,QC,33,53282995.95,8973665.1,9290353.8,6663445.95,3608266.725,12207914.7,16997416.2,674842.35,1412926.65,59415581.55,852021.15,574823.775,15439234.95,10474205.1,10476684.38,286374.525,213073.725
pool3,pool3,QC,QC,56,59506491.38,12790042.28,14301912.3,10406007.68,5914099.8,19635942.08,27379539.23,1064052.525,2224208.025,86629481.1,1314467.4,868465.125,21009057.23,15990969.9,13673114.78,373119.9,237023.85
pool4,pool4,QC,QC,60,55339181.03,13979777.93,15550921.43,11189883.9,6235021.65,21505439.85,30835899.98,1226889.9,2453084.25,92124827.93,1477543.65,938289.6,21543015,17345999.7,14232117,390341.325,245906.775
pool5,pool5,QC,QC,67,56228858.55,12426232.35,13346240.7,9797977.2,5463690,18323371.88,25284208.73,1075946.1,2042672.1,79788274.28,1280671.275,796462.725,19971830.18,15571496.4,13671763.43,321606,221162.475
pool6,pool6,QC,QC,68,62058999.9,13965027.45,15020546.4,11030448.83,5972203.725,19569666.23,26122023.83,1042823.1,2125522.65,81778444.43,1295974.5,803047.875,20814571.65,15917920.35,13926789.68,343222.8,201700.35
pool7,pool7,QC,QC,75,55675022.03,11833583.03,12150380.48,8242556.4,4418620.8,14755817.03,21459445.35,818086.575,1828733.4,74310555.6,1030791.525,754056.975,18531148.65,12160301.03,11746895.85,358786.125,273610.2
pool8,pool8,QC,QC,78,53625976.5,13985736.3,15001092.9,9960097.875,5520277.575,19242834.23,29020260.75,1085270.55,2434142.4,93237174.83,1330101.15,959991.225,21468832.05,15876602.25,13319851.13,393444.675,276264.975
pool9,pool9,QC,QC,87,49654157.48,9524364.75,10069893.6,7348633.65,4105315.275,13973235.98,19973723.03,751618.05,1681288.8,67626891.45,979177.2,648898.95,17733333.38,12161577.83,11924678.1,305967.75,207435.9